"Exposure","Outcome","Sex","Beta","CI_lower","CI_upper","P_value"
"diversity_shannon","Z_score.FEV1","Men",0.18,0.06,0.3,0.004
"diversity_shannon","Z_score.FEV1","Women",0.02,-0.12,0.15,0.81
"diversity_shannon","Z_score.FVC","Men",0.12,0.01,0.23,0.027
"diversity_shannon","Z_score.FVC","Women",0.07,-0.05,0.18,0.252
"diversity_shannon","Z_score.FEV1FVC","Men",0.08,-0.03,0.19,0.135
"diversity_shannon","Z_score.FEV1FVC","Women",-0.07,-0.17,0.03,0.182
"diversity_shannon","feno","Men",1.2,-0.36,2.76,0.13
"diversity_shannon","feno","Women",2.44,0.74,4.15,0.005
"rcopies_m2","Z_score.FEV1","Men",-0.03,-0.07,0.01,0.1
"rcopies_m2","Z_score.FEV1","Women",0,-0.04,0.05,0.844
"rcopies_m2","Z_score.FVC","Men",-0.02,-0.05,0.02,0.354
"rcopies_m2","Z_score.FVC","Women",0,-0.04,0.04,0.938
"rcopies_m2","Z_score.FEV1FVC","Men",-0.03,-0.07,0,0.05
"rcopies_m2","Z_score.FEV1FVC","Women",0,-0.03,0.04,0.848
"rcopies_m2","feno","Men",0.33,-0.19,0.84,0.211
"rcopies_m2","feno","Women",0.41,-0.18,1,0.174
"eu_m2","Z_score.FEV1","Men",-0.02,-0.06,0.02,0.249
"eu_m2","Z_score.FEV1","Women",-0.01,-0.03,0.02,0.621
"eu_m2","Z_score.FVC","Men",-0.01,-0.05,0.02,0.495
"eu_m2","Z_score.FVC","Women",-0.01,-0.03,0.02,0.636
"eu_m2","Z_score.FEV1FVC","Men",-0.02,-0.05,0.02,0.339
"eu_m2","Z_score.FEV1FVC","Women",0,-0.02,0.02,0.961
"eu_m2","feno","Men",0.16,-0.32,0.65,0.506
"eu_m2","feno","Women",0.38,0.05,0.7,0.024
